CAGDP2 Gross domestic product (GDP) by county 1
CAGDP2 Gross domestic product (GDP) by county 1
County
GeoFIPS,GeoName,LineCode,Description,2022,2023,2024
42000,Pennsylvania,1,All industry total,916861672,966444007,1007873940
42000,Pennsylvania,2,"  Private industries",837704426,883788000,920912820
42000,Pennsylvania,3,"    Agriculture, forestry, fishing and hunting",6078968,4552763,4792528
42000,Pennsylvania,6,"    Mining, quarrying, and oil and gas extraction",19169572,15830492,14162210
42000,Pennsylvania,10,"    Utilities",14932820,15417615,15204573
42000,Pennsylvania,11,"    Construction",36147410,39388087,41189692
42000,Pennsylvania,12,"    Manufacturing",101274933,106948731,107806300
42000,Pennsylvania,13,"      Durable goods manufacturing",48007106,50482393,50756518
42000,Pennsylvania,25,"      Nondurable goods manufacturing",53267827,56466338,57049782
42000,Pennsylvania,34,"    Wholesale trade",53432328,56023977,58308928
42000,Pennsylvania,35,"    Retail trade",56449496,61263649,63326493
42000,Pennsylvania,36,"    Transportation and warehousing",36441736,37584108,39065689
42000,Pennsylvania,45,"    Information",43587339,40720327,41533890
42000,Pennsylvania,50,"    Finance, insurance, real estate, rental, and leasing",178180919,191026843,201888220
42000,Pennsylvania,51,"      Finance and insurance",63546684,66722174,72141163
42000,Pennsylvania,56,"      Real estate and rental and leasing",114634235,124304669,129747057
42000,Pennsylvania,59,"    Professional and business services",127476423,134624563,141110334
42000,Pennsylvania,60,"      Professional, scientific, and technical services",74214265,77961224,82060716
42000,Pennsylvania,64,"      Management of companies and enterprises",28292212,30331144,32132385
42000,Pennsylvania,65,"      Administrative and support and waste management and remediation services",24969945,26332195,26917233
42000,Pennsylvania,68,"    Educational services, health care, and social assistance",111966834,121219150,129912550
42000,Pennsylvania,69,"      Educational services",21537373,22850633,24163555
42000,Pennsylvania,70,"      Health care and social assistance",90429461,98368518,105748995
42000,Pennsylvania,75,"    Arts, entertainment, recreation, accommodation, and food services",31907235,37016307,38877014
42000,Pennsylvania,76,"      Arts, entertainment, and recreation",9594799,11470453,12230872
42000,Pennsylvania,79,"      Accommodation and food services",22312436,25545854,26646142
42000,Pennsylvania,82,"    Other services (except government and government enterprises)",20658412,22171387,23734398
42000,Pennsylvania,83,Government and government enterprises,79157246,82656007,86961120
42000,Pennsylvania,,Addenda:,,,
42000,Pennsylvania,87,Natural resources and mining,25248540,20383255,18954739
42000,Pennsylvania,88,Trade,109881824,117287626,121635422
42000,Pennsylvania,89,Transportation and utilities,51374556,53001723,54270262
42000,Pennsylvania,90,Manufacturing and information,144862272,147669058,149340190
42000,Pennsylvania,91,Private goods-producing industries 2,162670882,166720074,167950731
42000,Pennsylvania,92,Private services-providing industries 3,675033544,717067926,752962089
42001,"Adams, PA",1,All industry total,4490521,4578173,4729052
42001,"Adams, PA",2,"  Private industries",4024304,4077540,4214748
42001,"Adams, PA",3,"    Agriculture, forestry, fishing and hunting",126703,26258,50221
42001,"Adams, PA",6,"    Mining, quarrying, and oil and gas extraction",22627,21643,8384
42001,"Adams, PA",10,"    Utilities",282077,259159,268580
42001,"Adams, PA",11,"    Construction",252897,262217,266897
42001,"Adams, PA",12,"    Manufacturing",876014,931987,924335
42001,"Adams, PA",13,"      Durable goods manufacturing",291411,296083,293695
42001,"Adams, PA",25,"      Nondurable goods manufacturing",584603,635904,630640
42001,"Adams, PA",34,"    Wholesale trade",70753,80743,81685
42001,"Adams, PA",35,"    Retail trade",300889,319800,337238
42001,"Adams, PA",36,"    Transportation and warehousing",166039,156064,163049
42001,"Adams, PA",45,"    Information",53505,51755,58949
42001,"Adams, PA",50,"    Finance, insurance, real estate, rental, and leasing",790651,808353,829254
42001,"Adams, PA",51,"      Finance and insurance",112852,120110,133139
42001,"Adams, PA",56,"      Real estate and rental and leasing",677799,688243,696115
42001,"Adams, PA",59,"    Professional and business services",231534,256721,269793
42001,"Adams, PA",60,"      Professional, scientific, and technical services",117697,131462,137284
42001,"Adams, PA",64,"      Management of companies and enterprises",46923,49957,53623
42001,"Adams, PA",65,"      Administrative and support and waste management and remediation services",66914,75302,78885
42001,"Adams, PA",68,"    Educational services, health care, and social assistance",496640,520320,550258
42001,"Adams, PA",69,"      Educational services",(D),(D),120281
42001,"Adams, PA",70,"      Health care and social assistance",(D),(D),429977
42001,"Adams, PA",75,"    Arts, entertainment, recreation, accommodation, and food services",226389,248326,259982
42001,"Adams, PA",76,"      Arts, entertainment, and recreation",43400,50042,53220
42001,"Adams, PA",79,"      Accommodation and food services",182989,198284,206762
42001,"Adams, PA",82,"    Other services (except government and government enterprises)",127586,134196,146123
42001,"Adams, PA",83,Government and government enterprises,466217,500633,514304
42001,"Adams, PA",,Addenda:,,,
42001,"Adams, PA",87,Natural resources and mining,149331,47901,58605
42001,"Adams, PA",88,Trade,371642,400543,418923
42001,"Adams, PA",89,Transportation and utilities,448116,415223,431629
42001,"Adams, PA",90,Manufacturing and information,929519,983742,983284
42001,"Adams, PA",91,Private goods-producing industries 2,1278241,1242105,1249837
42001,"Adams, PA",92,Private services-providing industries 3,2746063,2835436,2964911
42003,"Allegheny, PA",1,All industry total,119610193,127286970,132891899
42003,"Allegheny, PA",2,"  Private industries",111684437,118904513,124061756
42003,"Allegheny, PA",3,"    Agriculture, forestry, fishing and hunting",16701,20603,9021
42003,"Allegheny, PA",6,"    Mining, quarrying, and oil and gas extraction",550509,474275,758196
42003,"Allegheny, PA",10,"    Utilities",658043,632434,615991
42003,"Allegheny, PA",11,"    Construction",4163359,4466850,4626874
42003,"Allegheny, PA",12,"    Manufacturing",5890744,6298729,6216480
42003,"Allegheny, PA",13,"      Durable goods manufacturing",4509561,4701586,4620825
42003,"Allegheny, PA",25,"      Nondurable goods manufacturing",1381183,1597142,1595655
42003,"Allegheny, PA",34,"    Wholesale trade",8072500,8453691,8661927
42003,"Allegheny, PA",35,"    Retail trade",9736581,10749501,11163695
42003,"Allegheny, PA",36,"    Transportation and warehousing",4361517,4316960,4167300
42003,"Allegheny, PA",45,"    Information",7517564,7567760,7811748
42003,"Allegheny, PA",50,"    Finance, insurance, real estate, rental, and leasing",25688513,27289199,29481082
42003,"Allegheny, PA",51,"      Finance and insurance",12608629,12882883,14717727
42003,"Allegheny, PA",56,"      Real estate and rental and leasing",13079885,14406316,14763356
42003,"Allegheny, PA",59,"    Professional and business services",21857050,23501783,23681864
42003,"Allegheny, PA",60,"      Professional, scientific, and technical services",11987986,12853782,13598239
42003,"Allegheny, PA",64,"      Management of companies and enterprises",6716520,7373445,6827515
42003,"Allegheny, PA",65,"      Administrative and support and waste management and remediation services",3152543,3274556,3256110
42003,"Allegheny, PA",68,"    Educational services, health care, and social assistance",16194820,17323854,18549761
42003,"Allegheny, PA",69,"      Educational services",4101110,4405551,4702234
42003,"Allegheny, PA",70,"      Health care and social assistance",12093710,12918302,13847527
42003,"Allegheny, PA",75,"    Arts, entertainment, recreation, accommodation, and food services",4677135,5330314,5653993
42003,"Allegheny, PA",76,"      Arts, entertainment, and recreation",1892852,2149199,2312962
42003,"Allegheny, PA",79,"      Accommodation and food services",2784283,3181115,3341030
42003,"Allegheny, PA",82,"    Other services (except government and government enterprises)",2299401,2478560,2663824
42003,"Allegheny, PA",83,Government and government enterprises,7925757,8382456,8830142
42003,"Allegheny, PA",,Addenda:,,,
42003,"Allegheny, PA",87,Natural resources and mining,567210,494878,767216
42003,"Allegheny, PA",88,Trade,17809081,19203192,19825622
42003,"Allegheny, PA",89,Transportation and utilities,5019559,4949395,4783291
42003,"Allegheny, PA",90,Manufacturing and information,13408308,13866489,14028228
42003,"Allegheny, PA",91,Private goods-producing industries 2,10621314,11260457,11610571
42003,"Allegheny, PA",92,Private services-providing industries 3,101063123,107644056,112451185
42005,"Armstrong, PA",1,All industry total,2500451,2461050,2797574
42005,"Armstrong, PA",2,"  Private industries",2292171,2245139,2575307
42005,"Armstrong, PA",3,"    Agriculture, forestry, fishing and hunting",25176,28474,7134
42005,"Armstrong, PA",6,"    Mining, quarrying, and oil and gas extraction",395712,319120,616925
42005,"Armstrong, PA",10,"    Utilities",331568,229801,228828
42005,"Armstrong, PA",11,"    Construction",91835,115823,127808
42005,"Armstrong, PA",12,"    Manufacturing",205316,214523,215075
42005,"Armstrong, PA",13,"      Durable goods manufacturing",175767,183053,181500
42005,"Armstrong, PA",25,"      Nondurable goods manufacturing",29549,31470,33575
42005,"Armstrong, PA",34,"    Wholesale trade",67586,68754,71956
42005,"Armstrong, PA",35,"    Retail trade",144695,158099,163583
42005,"Armstrong, PA",36,"    Transportation and warehousing",99984,102302,108235
42005,"Armstrong, PA",45,"    Information",84775,92165,92130
42005,"Armstrong, PA",50,"    Finance, insurance, real estate, rental, and leasing",403424,441699,452680
42005,"Armstrong, PA",51,"      Finance and insurance",79874,89453,96135
42005,"Armstrong, PA",56,"      Real estate and rental and leasing",323549,352246,356544
42005,"Armstrong, PA",59,"    Professional and business services",88107,94403,94863
42005,"Armstrong, PA",60,"      Professional, scientific, and technical services",37482,38371,41009
42005,"Armstrong, PA",64,"      Management of companies and enterprises",21854,24251,23758
42005,"Armstrong, PA",65,"      Administrative and support and waste management and remediation services",28771,31781,30096
42005,"Armstrong, PA",68,"    Educational services, health care, and social assistance",227201,238295,252615
42005,"Armstrong, PA",69,"      Educational services",5027,5708,6114
42005,"Armstrong, PA",70,"      Health care and social assistance",222174,232587,246501
42005,"Armstrong, PA",75,"    Arts, entertainment, recreation, accommodation, and food services",50670,55481,56636
42005,"Armstrong, PA",76,"      Arts, entertainment, and recreation",8737,9864,8774
42005,"Armstrong, PA",79,"      Accommodation and food services",41933,45617,47863
42005,"Armstrong, PA",82,"    Other services (except government and government enterprises)",76122,86200,86839
42005,"Armstrong, PA",83,Government and government enterprises,208280,215911,222267
42005,"Armstrong, PA",,Addenda:,,,
42005,"Armstrong, PA",87,Natural resources and mining,420888,347594,624059
42005,"Armstrong, PA",88,Trade,212282,226853,235540
42005,"Armstrong, PA",89,Transportation and utilities,431552,332103,337062
42005,"Armstrong, PA",90,Manufacturing and information,290091,306688,307205
42005,"Armstrong, PA",91,Private goods-producing industries 2,718039,677941,966942
42005,"Armstrong, PA",92,Private services-providing industries 3,1574132,1567199,1608365
42007,"Beaver, PA",1,All industry total,7866516,7893082,8032503
42007,"Beaver, PA",2,"  Private industries",7204657,7209826,7326152
42007,"Beaver, PA",3,"    Agriculture, forestry, fishing and hunting",9869,1110,2769
42007,"Beaver, PA",6,"    Mining, quarrying, and oil and gas extraction",149876,113053,81406
42007,"Beaver, PA",10,"    Utilities",931786,987902,945292
42007,"Beaver, PA",11,"    Construction",635130,405719,419139
42007,"Beaver, PA",12,"    Manufacturing",1452727,1579373,1566216
42007,"Beaver, PA",13,"      Durable goods manufacturing",953708,1023334,1011785
42007,"Beaver, PA",25,"      Nondurable goods manufacturing",499020,556039,554431
42007,"Beaver, PA",34,"    Wholesale trade",266252,279127,295172
42007,"Beaver, PA",35,"    Retail trade",446304,484173,494493
42007,"Beaver, PA",36,"    Transportation and warehousing",395641,405141,421698
42007,"Beaver, PA",45,"    Information",79104,68307,72270
42007,"Beaver, PA",50,"    Finance, insurance, real estate, rental, and leasing",1237527,1195730,1237686
42007,"Beaver, PA",51,"      Finance and insurance",171269,184108,194547
42007,"Beaver, PA",56,"      Real estate and rental and leasing",1066258,1011622,1043139
