"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"42045","0","10","70","0","2025","A","",14594,219161,16404627760,2114902476,72022640,1439,74852,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",170,1.2,625,0.3,413920994,2.6,35138003,1.7,3727230,5.5,32,2.3,1680,2.3
"42045","1","10","71","0","2025","A","",64,1970,225873774,0,0,2205,114642,"",0.88,0.48,0.55,0.00,0.00,1.15,1.14,"",0,0.0,53,2.8,18082095,8.7,0,0.0,0,0.0,121,5.8,6253,5.8
"42045","1","102","72","0","2025","A","",64,1970,225873774,0,0,2205,114642,"",0.88,0.49,0.56,0.00,0.00,1.15,1.14,"",0,0.0,53,2.8,18082095,8.7,0,0.0,0,0.0,121,5.8,6253,5.8
"42045","1","1021","73","0","2025","A","",41,1020,110355190,0,0,2081,108227,"",1.13,1.10,1.68,0.00,0.00,1.53,1.53,"",0,0.0,9,0.9,11830299,12.0,0,0.0,0,0.0,207,11.0,10774,11.1
"42045","1","1024","73","0","2025","A","",1,1,52500,0,0,1514,78750,"",0.54,0.01,0.01,0.00,0.00,0.81,0.81,"",0,0.0,-1,-50.0,-91328,-63.5,0,0.0,0,0.0,-67,-4.2,-3437,-4.2
"42045","1","1028","73","0","2025","A","",23,950,115466084,0,0,2338,121554,"",0.79,0.42,0.45,0.00,0.00,1.09,1.09,"",1,4.5,46,5.1,6343124,5.8,0,0.0,0,0.0,17,0.7,887,0.7
"42045","1","48-49","74","0","2025","A","",41,1020,110355190,0,0,2081,108227,"",1.16,1.19,1.79,0.00,0.00,1.51,1.51,"",0,0.0,9,0.9,11830299,12.0,0,0.0,0,0.0,207,11.0,10774,11.1
"42045","1","488","75","0","2025","A","",1,226,54262746,0,0,4611,239747,"",6.45,12.63,19.07,0.00,0.00,1.51,1.51,"",0,0.0,17,8.1,12080274,28.6,0,0.0,0,0.0,731,18.8,37997,18.8
"42045","1","4881","76","0","2025","A","",1,226,54262746,0,0,4611,239747,"",6.45,12.63,19.07,0.00,0.00,1.51,1.51,"",0,0.0,17,8.1,12080274,28.6,0,0.0,0,0.0,731,18.8,37997,18.8
"42045","1","48811","77","0","2025","A","",1,226,54262746,0,0,4611,239747,"",6.45,12.63,19.07,0.00,0.00,1.51,1.51,"",0,0.0,17,8.1,12080274,28.6,0,0.0,0,0.0,731,18.8,37997,18.8
